EMPNO,ENAME,JOB,MGR,SAL,COMM,DEPTNO
7001,Henry Williams,CLERK,7839,3150,,40
7002,John Davis,CLERK,,1343,,30
7003,Grace Miller,CLERK,7698,2946,,40
7004,John Martinez,MANAGER,7698,2884,,30
7005,Bob Rodriguez,CLERK,7566,3042,,30
7006,Grace Garcia,PRESIDENT,,2177,,10
7007,Bob Miller,CLERK,7566,2351,,40
7008,Bob Williams,PRESIDENT,7566,4623,,30
7009,Grace Miller,MANAGER,7698,3045,,20
7010,Charlie Rodriguez,MANAGER,7698,3358,,10
7011,Alice Miller,PRESIDENT,7698,1925,,40
7012,Bob Jones,CLERK,7566,3011,,10
7013,Henry Martinez,CLERK,7698,2750,,20
7014,Jane Davis,SALESMAN,7566,1660,370,30
7015,John Garcia,PRESIDENT,,3096,,40
7016,Charlie Garcia,ANALYST,7839,1090,,30
7017,Eve Williams,CLERK,7839,2973,,40
7018,Grace Brown,CLERK,7698,3842,,30
7019,Charlie Martinez,SALESMAN,,4639,436,20
7020,Henry Williams,PRESIDENT,7698,3497,,30
7021,Grace Jones,SALESMAN,7698,4244,81,40
7022,Henry Johnson,ANALYST,7839,2897,,10
7023,Henry Martinez,ANALYST,7839,2444,,20
7024,Bob Rodriguez,PRESIDENT,,2312,,40
7025,Charlie Johnson,MANAGER,7566,2846,,40
7026,Grace Johnson,MANAGER,7698,1035,,20
7027,Bob Davis,SALESMAN,7566,2021,177,10
7028,Alice Williams,PRESIDENT,7839,2857,,10
7029,Grace Davis,ANALYST,7698,4384,,10
7030,Grace Rodriguez,PRESIDENT,7698,2537,,10
7031,Alice Martinez,SALESMAN,,4562,312,30
7032,John Davis,MANAGER,7698,3321,,10
7033,John Davis,PRESIDENT,7698,2208,,30
7034,Diana Johnson,SALESMAN,7698,2478,63,40
7035,Henry Brown,CLERK,7782,4093,,10
7036,Diana Jones,SALESMAN,,4540,214,40
7037,Eve Miller,MANAGER,7782,2506,,40
7038,John Johnson,ANALYST,7782,2242,,20
7039,Henry Jones,CLERK,7698,2708,,30
7040,Grace Smith,SALESMAN,7839,4253,218,40
7041,Jane Davis,CLERK,7698,4193,,30
7042,Diana Rodriguez,ANALYST,,3500,,30
7043,Henry Williams,PRESIDENT,,1339,,20
7044,Henry Williams,MANAGER,7698,4688,,40
7045,Diana Jones,SALESMAN,7839,3569,447,10
7046,Grace Smith,CLERK,7839,4534,,40
7047,Bob Jones,CLERK,7782,1988,,40
7048,Charlie Johnson,CLERK,7782,4688,,30
7049,Frank Smith,ANALYST,7839,3258,,10
7050,Henry Brown,ANALYST,7839,2257,,40
7051,Henry Miller,PRESIDENT,,3271,,40
7052,Henry Jones,MANAGER,7698,4227,,40
7053,Bob Brown,PRESIDENT,7782,1959,,10
7054,Charlie Johnson,PRESIDENT,7698,1521,,40
7055,John Smith,MANAGER,,3182,,30
7056,Henry Garcia,CLERK,7698,3855,,30
7057,Diana Williams,MANAGER,,2332,,30
7058,Charlie Jones,MANAGER,7566,3162,,30
7059,Jane Rodriguez,CLERK,7698,4288,,40
7060,Eve Smith,ANALYST,7698,4259,,20
7061,Eve Brown,ANALYST,7566,1989,,10
7062,Bob Brown,PRESIDENT,7782,2577,,30
7063,Frank Miller,CLERK,7782,4881,,30
7064,Grace Williams,MANAGER,7566,3820,,40
7065,Jane Martinez,PRESIDENT,7698,1479,,20
7066,Frank Jones,CLERK,7698,2591,,30
7067,Eve Smith,SALESMAN,7839,2525,358,10
7068,Eve Davis,CLERK,7566,1564,,30
7069,Frank Jones,SALESMAN,7839,2584,298,10
7070,Charlie Johnson,ANALYST,7566,1023,,30
7071,Jane Davis,CLERK,7698,3204,,20
7072,John Jones,PRESIDENT,,1836,,30
7073,Alice Rodriguez,PRESIDENT,7839,1257,,20
7074,Bob Miller,MANAGER,7566,4173,,20
7075,Henry Martinez,CLERK,7782,3793,,10
7076,Charlie Davis,PRESIDENT,7566,2968,,20
7077,Eve Garcia,PRESIDENT,7782,4144,,40
7078,Henry Jones,SALESMAN,7566,1007,125,40
7079,Bob Davis,ANALYST,7839,1518,,10
7080,Alice Davis,MANAGER,,1804,,10
7081,Alice Jones,CLERK,7782,4380,,10
7082,Eve Johnson,SALESMAN,7839,4177,155,20
7083,Jane Rodriguez,SALESMAN,7566,1055,475,30
7084,Diana Brown,ANALYST,,2016,,20
7085,Alice Johnson,PRESIDENT,7566,1790,,40
7086,Alice Miller,ANALYST,7566,2954,,40
7087,Henry Miller,MANAGER,7839,4762,,20
7088,Diana Martinez,PRESIDENT,,3676,,30
7089,Diana Brown,CLERK,,3840,,30
7090,Eve Rodriguez,PRESIDENT,,2502,,20
7091,Charlie Williams,CLERK,7698,3506,,20
7092,Charlie Smith,ANALYST,7782,1395,,20
7093,John Jones,PRESIDENT,,2086,,40
7094,Charlie Johnson,CLERK,7782,3220,,10
7095,Eve Rodriguez,SALESMAN,,1316,118,10
7096,Diana Martinez,PRESIDENT,7566,4435,,20
7097,Alice Johnson,PRESIDENT,,3965,,40
7098,Eve Martinez,ANALYST,,3501,,30
7099,Jane Davis,PRESIDENT,7782,2907,,10
7100,Grace Davis,CLERK,7566,4296,,30
